Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18667939,Think and Grow Rich for Women: Using Your Power to Create Success and Significance,Sharon L. Lechter,"Lechter, Sharon L.",,"=""0399170820""","=""9780399170829""",0,3.91,TarcherPerigee,Hardcover,352,2014,2014,,2022/06/11,currently-reading,currently-reading (#6),currently-reading,,,,1,0
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2022/06/11,to-read,to-read (#48),to-read,,,,0,0
33584212,Immune: How Your Body Defends and Protects You (Bloomsbury Sigma),Catherine Carver,"Carver, Catherine",,"=""1472915119""","=""9781472915115""",0,3.66,Bloomsbury Sigma,Hardcover,304,2017,,,2022/06/11,to-read,to-read (#47),to-read,,,,0,0
54455629,"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein,"Prescod-Weinstein, Chanda",,"=""1541724704""","=""9781541724709""",0,4.12,Bold Type Books,Hardcover,320,2021,2021,,2022/06/11,to-read,to-read (#46),to-read,,,,0,0
56354938,Biofabrication (The MIT Press Essential Knowledge series),Ritu Raman,"Raman, Ritu",,"=""026254296X""","=""9780262542968""",0,4.19,The MIT Press,Paperback,216,2021,,,2022/05/28,to-read,to-read (#45),to-read,,,,0,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.86,Oxford University Press,Hardcover,352,2014,2014,,2022/04/21,currently-reading,currently-reading (#5),currently-reading,,,,1,0
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,"=""1982115858""","=""9781982115852""",5,4.29,Simon & Schuster,Hardcover,536,2021,2021,2022/04/21,2021/12/06,,,read,,,,1,0
58120775,Nearly All The Men In Lagos Are Mad,Damilare Kuku,"Kuku, Damilare",,"=""""","=""""",5,4.01,Masobe Books,Paperback,,2021,,2021/12/30,2021/12/25,,,read,,,,1,0
52207852,Secrets of Divine Love: A Spiritual Journey into the Heart of Islam,A. Helwa,"Helwa, A.",,"=""1734231203""","=""9781734231205""",0,4.53,Naulit Publishing House,Paperback,387,2020,,,2022/03/11,to-read,to-read (#44),to-read,,,,0,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",0,4.16,Simon & Schuster,Hardcover,630,2011,2011,,2022/02/06,to-read,to-read (#43),to-read,,,,0,0
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,"=""1984806750""","=""9781984806758""",4,3.89,Berkley,Paperback,364,2021,2021,2022/01/31,2022/01/24,,,read,,,,1,0
56769579,"The Secret of Life: Rosalind Franklin, James Watson, Francis Crick, and the Discovery of DNA's Double Helix",Howard Markel,"Markel, Howard",,"=""1324002239""","=""9781324002239""",0,4.15,W. W. Norton & Company,Hardcover,576,2021,2021,,2022/01/26,to-read,to-read (#42),to-read,,,,0,0
42584179,How Not to Die Alone,Richard Roper,"Roper, Richard",,"=""0525539883""","=""9780525539889""",0,3.68,G.P. Putnam's Sons,Hardcover,321,2019,2019,,2022/01/24,to-read,to-read (#41),to-read,,,,0,0
54304221,How to Not Die Alone: The Surprising Science That Will Help You Find Love,Logan Ury,"Ury, Logan",,"=""1982120622""","=""9781982120627""",0,4.02,Simon & Schuster,Hardcover,352,2021,2021,,2022/01/24,to-read,to-read (#40),to-read,,,,0,0
58438593,The Soulmate Equation,Christina Lauren,"Lauren, Christina",,"=""1982171111""","=""9781982171117""",0,4.01,Gallery Books,Paperback,416,2022,2021,,2022/01/08,to-read,to-read (#39),to-read,,,,0,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"Chambers, Becky",,"=""""","=""""",3,4.29,Tordotcom,Kindle Edition,160,2021,2021,2022/01/05,2022/01/01,,,read,,,,1,0
55077657,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"Chambers, Becky",,"=""1250236215""","=""9781250236210""",0,4.29,Tor.com Tom Doherty Assoc.,Hardcover,147,2021,2021,,2021/12/30,to-read,to-read (#38),to-read,,,,0,0
11235712,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""0312641893""","=""9780312641894""",0,4.13,Feiwel & Friends,Hardcover,390,2012,2012,,2021/11/18,to-read,to-read (#37),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",3,4.17,Berkley Books,Paperback,383,2021,2021,2021/11/18,2021/09/13,,,read,,,,1,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.02,Spectra,Kindle Edition,559,2018,1992,,2021/10/28,to-read,to-read (#36),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.17,Crown Currency,Hardcover,195,2014,2014,,2021/10/21,currently-reading,currently-reading (#4),currently-reading,,,,1,0
